City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,camiri,0.8379,-56.42,298.83,52,96,0.81,SR,1697171708
84,jackson,67.5173,40.1529,274.27,97,100,4.05,RU,1697171709
85,byron bay,37.1058,81.3799,295.67,12,0,4.86,CN,1697171710
86,pemba,8.9814,-12.848,296.58,98,94,1.27,SL,1697171711
87,page,46.9368,-74.0049,280.51,94,85,2.15,CA,1697171712
88,cromwell,42.0761,72.2978,277.51,94,98,2.44,KG,1697171715
89,tyul'kubas,29.6133,8.3701,294.72,34,0,3.86,LY,1697171715
90,tetyushi,70.2744,-67.3187,273.34,78,100,2.37,CA,1697171715
91,tsengel,56.1682,163.6016,278.17,52,4,1.06,RU,1697171717
92,khorugh,65.5696,-19.6329,268.35,92,95,8.99,IS,1697171717
93,vingt cinq,22.3184,68.2541,300.4,71,2,2.7,IN,1697171718
94,hammerfest,68.5188,146.9529,263.7,91,100,2.64,RU,1697171720
95,roskilde,-44.4172,-67.3927,282.79,48,0,7.01,AR,1697171720
96,monte patria,-51.4746,-70.3663,278.61,80,10,8.9,AR,1697171721
97,mount isa,7.558,-0.2104,297.0,95,98,1.86,GH,1697171722
98,mount pearl,-20.6484,-159.5019,296.38,82,28,8.62,CK,1697171722
99,tra mhor,53.9626,-102.8762,282.07,74,86,1.47,CA,1697171723
100,gainesville,62.0892,160.5376,271.7,68,94,0.51,RU,1697171724
101,prince rupert,29.758,9.8288,293.53,43,0,3.9,LY,1697171727
102,atamanovka,51.9748,117.3282,284.75,35,10,3.78,RU,1697171727
103,lospalos,22.8607,115.2825,301.05,57,24,0.59,CN,1697171727
104,kendari,62.3787,108.9359,275.67,79,100,5.2,RU,1697171728
105,conde,37.911,9.5076,297.69,67,0,1.18,TN,1697171728
106,buique,66.9168,11.4018,280.78,61,69,4.37,NO,1697171729
107,kaposvar,28.8567,0.0793,295.53,30,71,8.97,DZ,1697171730
108,peace river,20.8131,-9.9376,301.02,18,39,3.4,MR,1697171731
109,choibalsan,31.3215,56.5532,290.86,40,1,1.25,IR,1697171731
110,jinchang,35.208,38.6824,294.57,64,0,3.7,SY,1697171732
111,gorodets,70.2872,83.9732,271.14,78,85,3.67,RU,1697171733
112,n'zeto,29.2055,59.6142,300.44,28,0,3.3,IR,1697171734
113,ust'-kut,19.6312,83.758,303.38,56,4,0.19,IN,1697171734
114,prabumulih,38.2935,68.1938,285.94,55,87,4.94,TJ,1697171735
115,krasnovishersk,42.3981,90.6307,297.46,18,0,4.07,CN,1697171736
116,coracora,-33.7147,-72.6495,286.12,85,0,10.48,CL,1697171737
117,yarkovo,61.0048,-95.4986,279.71,47,14,4.59,CA,1697171738
118,esikhaleni,40.3774,11.4723,296.03,66,5,1.77,IT,1697171739
